color,currency,image,inStock,name,os,page_num,price,processor,ram,rom,screenSize,url,wasPrice
silver shadow,AED,https://cdn.media.amplience.net/i/emax/100000363808_1,1,Samsung Galaxy Z Fold6 12GB 512GB Silver Shadow 5G,,2,7099.0,,12gb,512gb,,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-512gb-silver-shadow-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Silver Shadow-12GB 512GB.html,7699.0
silver shadow,AED,https://cdn.media.amplience.net/i/emax/100000363808_1,1,Samsung Galaxy Z Fold6 12GB 256GB Silver Shadow 5G,,2,6599.0,,12gb,256gb,,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-256gb-silver-shadow-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Silver Shadow-12GB 256GB.html,7199.0
pink,AED,https://cdn.media.amplience.net/i/emax/100000363804_1,1,Samsung Galaxy Z Fold6 12GB 512GB Pink 5G,,2,7099.0,,12gb,512gb,,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-512gb-pink-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Pink-12GB 512GB.html,7699.0
pink,AED,https://cdn.media.amplience.net/i/emax/100000363804_1,1,Samsung Galaxy Z Fold6 12GB 256GB Pink 5G,,2,6599.0,,12gb,256gb,,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-256gb-pink-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Pink-12GB 256GB.html,7199.0
navy,AED,https://cdn.media.amplience.net/i/emax/100000363802_1,1,Samsung Galaxy Z Fold6 12GB 1TB Navy 5G,,2,8099.0,,12gb,1tb,,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-1tb-navy-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Navy-12GB 1TB.html,8699.0
navy,AED,https://cdn.media.amplience.net/i/emax/100000363802_1,1,Samsung Galaxy Z Fold6 12GB 512GB Navy 5G,,2,7099.0,,12gb,512gb,,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-512gb-navy-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Navy-12GB 512GB.html,7699.0
navy,AED,https://cdn.media.amplience.net/i/emax/100000363802_1,1,Samsung Galaxy Z Fold6 12GB 256GB Navy 5G,Android,2,6599.0,Octa-Core,12gb,256gb,7.6 Inch,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-256gb-navy-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Navy-12GB 256GB.html,7199.0
yellow,AED,https://cdn.media.amplience.net/i/emax/100000363800_1,1,Samsung Galaxy Z Flip6 12GB 256GB Yellow 5G,,2,3899.0,,12gb,256gb,6.7 Inch,uae.emaxme.com/buy-samsung-galaxy-z-flip6-12gb-256gb-yellow-5g-p-01J2EBDZ16YGAZ1EDEPTYR0JF3-Yellow-12GB 256GB.html,4299.0
mint,AED,https://cdn.media.amplience.net/i/emax/100000363795_1,1,Samsung Galaxy Z Flip6 12GB 512GB Mint 5G,,2,4399.0,,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-samsung-galaxy-z-flip6-12gb-512gb-mint-5g-p-01J2EBDZ16YGAZ1EDEPTYR0JF3-Mint-12GB 512GB.html,4799.0
mint,AED,https://cdn.media.amplience.net/i/emax/100000363795_1,1,Samsung Galaxy Z Flip6 12GB 256GB Mint 5G,,2,3899.0,,12gb,256gb,6.7 Inch,uae.emaxme.com/buy-samsung-galaxy-z-flip6-12gb-256gb-mint-5g-p-01J2EBDZ16YGAZ1EDEPTYR0JF3-Mint-12GB 256GB.html,4299.0
blue,AED,https://cdn.media.amplience.net/i/emax/100000363794_1,1,Samsung Galaxy Z Flip6 12GB 512GB Blue 5G,,2,4399.0,,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-samsung-galaxy-z-flip6-12gb-512gb-blue-5g-p-01J2EBDZ16YGAZ1EDEPTYR0JF3-Blue-12GB 512GB.html,4799.0
blue,AED,https://cdn.media.amplience.net/i/emax/100000363794_1,1,Samsung Galaxy Z Flip6 12GB 256GB Blue 5G,,2,3899.0,,12gb,256gb,6.7 Inch,uae.emaxme.com/buy-samsung-galaxy-z-flip6-12gb-256gb-blue-5g-p-01J2EBDZ16YGAZ1EDEPTYR0JF3-Blue-12GB 256GB.html,4299.0
sunset gold,AED,https://cdn.media.amplience.net/i/emax/100000363498_1,1,OPPO Reno12 Pro 12GB 512GB Sunset Gold 5G Smart Phone,Android 14,2,2099.0,MT6878 Processor,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-oppo-reno12-pro-12gb-512gb-sunset-gold-5g-smart-phone-p-01J1AATR0Q7YWJ096N80ND18Q4-Sunset Gold-12GB 512GB.html,2099.0
space brown,AED,https://cdn.media.amplience.net/i/emax/100000363497_1,1,OPPO Reno12 Pro 12GB 512GB Space Brown 5G Smart Phone,Android 14,2,2099.0,MT6878 Processor,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-oppo-reno12-pro-12gb-512gb-space-brown-5g-smart-phone-p-01J1AATR0Q7YWJ096N80ND18Q4-Space Brown-12GB 512GB.html,2099.0
matte brown,AED,https://cdn.media.amplience.net/i/emax/100000363496_1,1,OPPO Reno12 12GB 512GB  Matte Brown 5G Smartphone,Android 14,2,1599.0,MT6878 Processor,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-oppo-reno12-12gb-512gb--matte-brown-5g-smartphone-p-01J1AATR0F6QZN1YT87N3K1YXN-Matte Brown-12GB 512GB.html,1599.0
astro silver,AED,https://cdn.media.amplience.net/i/emax/100000363495_1,1,OPPO Reno12 12GB 512GB Astro Silver 5G Smartphone,Android 14,2,1599.0,MT6878 Processor,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-oppo-reno12-12gb-512gb-astro-silver-5g-smartphone-p-01J1AATR0F6QZN1YT87N3K1YXN-Astro Silver-12GB 512GB.html,1599.0
sandstone orange,AED,https://media.emaxme.com/i/emax/100000363225_1,1,Samsung Galaxy S24+ 12GB 512GB  Sandstone Orange 5G,Android 14,2,3298.0,Exynos 2400,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-samsung-galaxy-s24-12gb-512gb--sandstone-orange-5g-p-01HM6DBTAE5CFE0Q7Z1F4B0MD0-Sandstone Orange-12GB 512GB.html,4399.0
jade green,AED,https://media.emaxme.com/i/emax/100000363224_1,1,Samsung Galaxy S24+ 12GB 512GB Jade Green 5G,Android 14,2,3298.0,Exynos 2400,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-samsung-galaxy-s24-12gb-512gb-jade-green-5g-p-01HM6DBTAE5CFE0Q7Z1F4B0MD0-Jade Green-12GB 512GB.html,4399.0
sapphire blue,AED,https://media.emaxme.com/i/emax/100000363223_1,1,Samsung Galaxy S24+ 12GB 512GB Sapphire Blue 5G,Android 14,2,3298.0,Exynos 2400,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-samsung-galaxy-s24-12gb-512gb-sapphire-blue-5g-p-01HM6DBTAE5CFE0Q7Z1F4B0MD0-Sapphire Blue-12GB 512GB.html,4399.0
purple,AED,https://cdn.media.amplience.net/i/emax/100000363100_1,1,HONOR Magic V2 16GB 512GB Purple Glass 5G + Free Gifts,MagicOS 7.2,2,4959.0,Snapdragon 8 Gen 2,16gb,512gb,,uae.emaxme.com/buy-honor-magic-v2-16gb-512gb-purple-glass-5g--free-gifts-p-01HYN3V0N01BDJ0CGRFTY504NP-Purple-16GB 512GB.html,5499.0
black pu,AED,https://cdn.media.amplience.net/i/emax/100000363099_1,1,HONOR Magic V2 16GB 512GB Black PU 5G + Free Gifts,MagicOS 7.2,2,4924.0,Snapdragon 8 Gen 2,16gb,512gb,,uae.emaxme.com/buy-honor-magic-v2-16gb-512gb-black-pu-5g--free-gifts-p-01HYN3V0N01BDJ0CGRFTY504NP-Black PU-16GB 512GB.html,5499.0
midnight black,AED,https://cdn.media.amplience.net/i/emax/100000363090_1,1,Honor 200 Lite 8GB 256GB Midnight Black 5G,MagicOS,2,899.0,MediaTek Dimensity 6080,8gb,256gb,6.7 Inch,uae.emaxme.com/buy-honor-200-lite-8gb-256gb-midnight-black-5g-p-01HZ7JW6GC4BK20XZN4W0N1ZPN-Midnight Black-8GB 256GB.html,949.0
starry blue,AED,https://cdn.media.amplience.net/i/emax/100000363089_1,1,Honor 200 Lite 8GB 256GB Starry Blue 5G,MagicOS,2,899.0,MediaTek Dimensity 6080,8gb,256gb,6.7 Inch,uae.emaxme.com/buy-honor-200-lite-8gb-256gb-starry-blue-5g-p-01HZ7JW6GC4BK20XZN4W0N1ZPN-Starry Blue-8GB 256GB.html,949.0
cyan lake,AED,https://cdn.media.amplience.net/i/emax/100000363088_1,1,Honor 200 Lite 8GB 256GB Cyan Lake 5G,MagicOS,2,899.0,MediaTek Dimensity 6080,8gb,256gb,6.7 Inch,uae.emaxme.com/buy-honor-200-lite-8gb-256gb-cyan-lake-5g-p-01HZ7JW6GC4BK20XZN4W0N1ZPN-Cyan Lake-8GB 256GB.html,949.0
brown,AED,https://cdn.media.amplience.net/i/emax/100000362575_1,1,Huawei Pura 70 Ultra  16GB 512GB Arabic Brown 4G,EMUI 14.2,2,3999.0,,16gb,512gb,6.8 Inch,uae.emaxme.com/buy-huawei-pura-70-ultra--16gb-512gb-arabic-brown-4g-p-01HXVNHZF1F4Q911SCMT160R2Z-BROWN-16GB 512GB.html,5099.0
green,AED,https://cdn.media.amplience.net/i/emax/100000362574_1,1,Huawei Pura 70 Ultra 16GB 512GB Arabic Green 4G,EMUI 14.2,2,3999.0,,16gb,512gb,6.8 Inch,uae.emaxme.com/buy-huawei-pura-70-ultra-16gb-512gb-arabic-green-4g-p-01HXVNHZF1F4Q911SCMT160R2Z-GREEN-16GB 512GB.html,5099.0
black,AED,https://cdn.media.amplience.net/i/emax/100000362573_1,1,Huawei Pura 70 Ultra 16GB 512GB Arabic Black 4G,EMUI 14.2,2,3999.0,,16gb,512gb,6.8 Inch,uae.emaxme.com/buy-huawei-pura-70-ultra-16gb-512gb-arabic-black-4g-p-01HXVNHZF1F4Q911SCMT160R2Z-BLACK-16GB 512GB.html,5099.0
black,AED,https://cdn.media.amplience.net/i/emax/100000362571_1,1,Huawei Pura 70 Pro  12GB 512GB Arabic Black 4G,EMUI 14.2,2,3199.0,,12gb,512gb,6.8 Inch,uae.emaxme.com/buy-huawei-pura-70-pro--12gb-512gb-arabic-black-4g-p-01HXVNHZFJNJ030S8FECTQ0KAQ-BLACK-12GB 512GB.html,3999.0
pink,AED,https://cdn.media.amplience.net/i/emax/100000362570_1,1,Huawei Pura 70 12GB 256GB Arabic Pink 4G,EMUI 14.2,2,2999.0,,12gb,256gb,6.6 Inch,uae.emaxme.com/buy-huawei-pura-70-12gb-256gb-arabic-pink-4g-p-01HXVNHZFNWJ1E0FW8638S06XR-PINK-12GB 256GB.html,2999.0
white,AED,https://cdn.media.amplience.net/i/emax/100000362569_1,1,Huawei Pura 70 12GB 256GB Arabic White 4G,EMUI 14.2,2,2999.0,,12gb,256gb,6.6 Inch,uae.emaxme.com/buy-huawei-pura-70-12gb-256gb-arabic-white-4g-p-01HXVNHZFNWJ1E0FW8638S06XR-WHITE-12GB 256GB.html,2999.0
black,AED,https://cdn.media.amplience.net/i/emax/100000362568_1,1,Huawei Pura 70 12GB 256GB Arabic Black 4G,EMUI 14.2,2,2999.0,,12gb,256gb,6.6 Inch,uae.emaxme.com/buy-huawei-pura-70-12gb-256gb-arabic-black-4g-p-01HXVNHZFNWJ1E0FW8638S06XR-BLACK-12GB 256GB.html,2999.0
ripple blue,AED,https://cdn.media.amplience.net/i/emax/100000362556_1,1,Oppo A60 256GB Ripple Blue 4G Smartphone,ColorOS 14.0.1,2,724.0,Octa-Core,256,gb,6.67 Inch,uae.emaxme.com/buy-oppo-a60-256gb-ripple-blue-4g-smartphone-p-01HY17BXEA0DHG1T66RRT31N77-Ripple Blue-256 GB.html,749.0
black,AED,https://cdn.media.amplience.net/i/emax/100000362291_1,1,Huawei Nova Y72 8GB 128GB 4G Black,EMUI 12,2,699.0,,8gb,128gb,6.75 Inch,uae.emaxme.com/buy-huawei-nova-y72-8gb-128gb-4g-black-p-01HVVD37RQ6STK0G0D4WYW01QJ-Black-8GB 128GB.html,699.0
glacier white,AED,https://cdn.media.amplience.net/i/emax/100000362079_1,1,Redmi 13C 8GB 256GB Glacier White 4G,MIUI 14,2,505.0,MediaTek Helio G85,8gb,,6.74 Inch,uae.emaxme.com/buy-redmi-13c-8gb-256gb-glacier-white-4g-p-01HTC78V6NYY0T13SFY9921V63-GLACIER WHITE-8GB  256GB.html,539.0
white,AED,https://cdn.media.amplience.net/i/emax/100000362020_1,1,Huawei Nova 12S 8Gb/256Gb White 4G,,2,1599.0,Qualcomm Snapdragon™ 778G 4G,8gb,256gb,6.7 Inch FHD+ ,uae.emaxme.com/buy-huawei-nova-12s-8gb256gb-white-4g-p-01HT2GK07KGQDF1FHWSMCW138E-WHITE-8GB 256GB.html,1599.0
blue,AED,https://cdn.media.amplience.net/i/emax/100000362019_1,1,Huawei Nova 12S 8Gb/256Gb Blue 4G,,2,1599.0,Qualcomm Snapdragon™ 778G 4G,8gb,256gb,6.7 Inch FHD+ ,uae.emaxme.com/buy-huawei-nova-12s-8gb256gb-blue-4g-p-01HT2GK07KGQDF1FHWSMCW138E-BLUE-8GB 256GB.html,1599.0
black,AED,https://cdn.media.amplience.net/i/emax/100000362018_1,1,Huawei Nova 12S 8Gb/256Gb Black 4G,,2,1599.0,Qualcomm Snapdragon™ 778G 4G,8gb,256gb,6.7 Inch FHD+ ,uae.emaxme.com/buy-huawei-nova-12s-8gb256gb-black-4g-p-01HT2GK07KGQDF1FHWSMCW138E-BLACK-8GB 256GB.html,1599.0
green,AED,https://cdn.media.amplience.net/i/emax/100000362017_1,1,Huawei Nova 12I 8Gb/256Gb Green 4G,,2,949.0,Qualcomm Snapdragon 680,8gb,256gb,6.7 Inch FHD+ ,uae.emaxme.com/buy-huawei-nova-12i-8gb256gb-green-4g-p-01HT2GK078YT5909D11TZN0Q31-GREEN-8GB 256GB.html,949.0
black,AED,https://cdn.media.amplience.net/i/emax/100000362016_1,1,Huawei Nova 12I 8Gb/256Gb Black 4G,,2,949.0,Qualcomm Snapdragon 680,8gb,256gb,6.7 Inch FHD+ ,uae.emaxme.com/buy-huawei-nova-12i-8gb256gb-black-4g-p-01HT2GK078YT5909D11TZN0Q31-BLACK-8GB 256GB.html,949.0
ocean blue,AED,https://cdn.media.amplience.net/i/emax/100000361997_1,1,Oppo Reno11 F 8GB 256GB Ocean Blue 5G,ColorOS 14.0,2,1199.0,MediaTek Dimensity 7050,8gb,256gb,6.7 Inch,uae.emaxme.com/buy-oppo-reno11-f-8gb-256gb-ocean-blue-5g-p-01HSJZDTAE23J70WM1TANW1HHR-OCEAN BLUE-8GB 256GB.html,1199.0
black,AED,https://cdn.media.amplience.net/i/emax/100000361993_1,1,Honor Magic 6 Pro 5G 12GB+512GB Black + Bundle,MagicOS 8.0 (Based on Android 14),2,3299.0,"Snapdragon 8 Gen 3, 1×Cortex-X4 3.3GHz+3×Cortex-A720 3.2GHz+ 2×Cortex-A720 3.0GHz+2×Cortex-A520 2.3GHz",512,GB,6.80 Inch,uae.emaxme.com/buy-honor-magic-6-pro-5g-12gb512gb-black--bundle-p-01HSEAYWZQ25CY1Q8P8SBV0X2Q-BLACK.html,3299.0
yellow,AED,https://cdn.media.amplience.net/i/emax/100000361907_1,1,Samsung Galaxy A55 8 GB 256GB Yellow 5G,Android,2,1227.0,Octa-Core,8gb,256gb,6.6 Inch,uae.emaxme.com/buy-samsung-galaxy-a55-8-gb-256gb-yellow-5g-p-01HS8X5GH3VM0H029R07AB069N-YELLOW-8GB 256GB.html,1549.0
blue black,AED,https://cdn.media.amplience.net/i/emax/100000361905_1,1,Samsung Galaxy A55 8 GB 256GB Blue Black 5G,Android,2,1227.0,Octa-Core,8gb,256gb,6.6 Inch,uae.emaxme.com/buy-samsung-galaxy-a55-8-gb-256gb-blue-black-5g-p-01HS8X5GH3VM0H029R07AB069N-BLUE BLACK-8GB 256GB.html,1549.0
blue black,AED,https://cdn.media.amplience.net/i/emax/100000361905_1,1,Samsung Galaxy A55 8 GB 128GB Blue Black 5G,Android,2,1100.0,Octa-Core,8gb,128gb,6.6 Inch,uae.emaxme.com/buy-samsung-galaxy-a55-8-gb-128gb-blue-black-5g-p-01HS8X5GH3VM0H029R07AB069N-BLUE BLACK-8GB 128GB.html,1449.0
lavender,AED,https://cdn.media.amplience.net/i/emax/100000361903_1,1,Samsung Galaxy A55 8 GB 128GB Lavender 5G,Android,2,1100.0,Octa-Core,8gb,128gb,6.6 Inch,uae.emaxme.com/buy-samsung-galaxy-a55-8-gb-128gb-lavender-5g-p-01HS8X5GH3VM0H029R07AB069N-LAVENDER-8GB 128GB.html,1449.0
light blue,AED,https://cdn.media.amplience.net/i/emax/100000361901_1,1,Samsung Galaxy A55 8 GB 256GB Light Blue 5G,Android,3,1227.0,Octa-Core,8gb,256gb,6.6 Inch,uae.emaxme.com/buy-samsung-galaxy-a55-8-gb-256gb-light-blue-5g-p-01HS8X5GH3VM0H029R07AB069N-LIGHT BLUE-8GB 256GB.html,1549.0
light blue,AED,https://cdn.media.amplience.net/i/emax/100000361901_1,1,Samsung Galaxy A55 8 GB 128GB Light Blue 5G,Android,3,1100.0,Octa-Core,8gb,128gb,6.6 Inch,uae.emaxme.com/buy-samsung-galaxy-a55-8-gb-128gb-light-blue-5g-p-01HS8X5GH3VM0H029R07AB069N-LIGHT BLUE-8GB 128GB.html,1449.0
titanium silver,AED,https://media.emaxme.com/i/emax/100000361467_1,1,Honor X8B 8GB 512GB Titanium Silver 4G,MagicOS 7.2 (Android 13),3,799.0,Qualcomm Snapdragon 680,512,GB,6.7 Inch,uae.emaxme.com/buy-honor-x8b-8gb-512gb-titanium-silver-4g-p-01HQFNE8949N4Q0WWR5AGJ0TQ6-Titanium Silver.html,899.0
glamours green,AED,https://media.emaxme.com/i/emax/100000361466_1,1,Honor X8B 8GB 512GB Glamorous Greenk 4G,MagicOS 7.2 (Android 13),3,799.0,Qualcomm Snapdragon 680,512,GB,6.7 Inch,uae.emaxme.com/buy-honor-x8b-8gb-512gb-glamorous-greenk-4g-p-01HQFNE8949N4Q0WWR5AGJ0TQ6-Glamours Green.html,899.0
midnight black,AED,https://media.emaxme.com/i/emax/100000361465_1,1,Honor X8B 8GB 512GB Midnight Black 4G,MagicOS 7.2 (Android 13),3,799.0,Qualcomm Snapdragon 680,512,GB,6.7 Inch,uae.emaxme.com/buy-honor-x8b-8gb-512gb-midnight-black-4g-p-01HQFNE8949N4Q0WWR5AGJ0TQ6-Midnight Black.html,899.0
midnight  black,AED,https://cdn.media.amplience.net/i/emax/100000361462_1,1,Redmi A3 4GB 128GB Midnight Black 4G,Android 14,3,329.0,MediaTek Helio G36 processor,4gb,,6.71 Inch,uae.emaxme.com/buy-redmi-a3-4gb-128gb-midnight-black-4g-p-01HTC78V6HX0CA00T4E8FW1FM0-MIDNIGHT  BLACK-4GB  128GB.html,349.0
star  blue,AED,https://cdn.media.amplience.net/i/emax/100000361460_1,1,Redmi A3 4GB 128GB Star Blue 4G,Android 14,3,329.0,MediaTek Helio G36 processor,4gb,,6.71 Inch,uae.emaxme.com/buy-redmi-a3-4gb-128gb-star-blue-4g-p-01HTC78V6HX0CA00T4E8FW1FM0-STAR  BLUE-4GB  128GB.html,349.0
glowing blue,AED,https://cdn.media.amplience.net/i/emax/100000361401_1,1,Oppo A18 64GB Glowing Blue 4G Smartphone,ColorOS 13.1,3,384.0,MediaTek Helio G85,64,GB,6.56 Inch,uae.emaxme.com/buy-oppo-a18-64gb-glowing-blue-4g-smartphone-p-01HS3V992K1R7M03S42M1K06SD-GLOWING BLUE.html,399.0
glowing gold,AED,https://cdn.media.amplience.net/i/emax/100000360871_1,1,Oppo A38 6GB 128GB Glowing Gold 4G,ColorOS 13.1,3,499.0,MediaTek Helio G85,6gb,128gb,6.55 Inch,uae.emaxme.com/buy-oppo-a38-6gb-128gb-glowing-gold-4g-p-01HTETKVD583040FHXFQJQ1ZTV-GLOWING GOLD-6GB 128GB.html,499.0
moonlight  white,AED,https://cdn.media.amplience.net/i/emax/100000360830_1,1,Redmi Note 13 Pro+ 12GB 512GB Moonlight White 5G,MIUI 14 based on Android 13,3,1399.0,MediaTek Dimensity 7200-Ultra,12gb,,6.67 Inch,uae.emaxme.com/buy-redmi-note-13-pro-12gb-512gb-moonlight-white-5g-p-01HTC78V79ZSW204HKVXNX1783-MOONLIGHT  WHITE-12GB  512GB.html,1599.0
midnight  black,AED,https://cdn.media.amplience.net/i/emax/100000360828_1,1,Redmi Note 13 Pro+ 12GB 512GB Midnight Black 5G,MIUI 14 based on Android 13,3,1399.0,MediaTek Dimensity 7200-Ultra,12gb,,6.67 Inch,uae.emaxme.com/buy-redmi-note-13-pro-12gb-512gb-midnight-black-5g-p-01HTC78V79ZSW204HKVXNX1783-MIDNIGHT  BLACK-12GB  512GB.html,1599.0
